,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
0,Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,"$620,181,382",4232,"$220,009,584",35.5%,4232,Dec 15,Apr 19,False,PG-13,"Action, Adventure, Fantasy, Sci-Fi",English,Nominated for 4 Oscars. Another 12 wins & 71 nominations.,27 Mar 2018,"$619,117,636",Rian Johnson,"Rian Johnson, George Lucas (based on characters created by)","Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",152 min,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",tt2527336,7.1,"481,503",85
1,Beauty and the Beast,Walt Disney Studios Motion Pictures,"$504,014,165",4210,"$174,750,616",34.7%,4210,Mar 17,Jul 13,False,G,"Animation, Family, Fantasy, Musical, Romance","English, French",Won 2 Oscars. Another 24 wins & 25 nominations.,08 Oct 2002,"$47,611,331","Gary Trousdale, Kirk Wise","Linda Woolverton (animation screenplay by), Brenda Chapman (story by), Chris Sanders (story by), Burny Mattinson (story by), Kevin Harkey (story by), Brian Pimental (story by), Bruce Woodside (story by), Joe Ranft (story by), Tom Ellery (story by), Kelly Asbury (story by), Robert Lence (story by)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",84 min,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,tt0101414,8.0,"396,910",95
2,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,"$389,813,101",4347,"$146,510,104",37.6%,4347,May 5,Sep 21,False,PG-13,"Action, Adventure, Comedy, Sci-Fi",English,Nominated for 1 Oscar. Another 12 wins & 42 nominations.,22 Aug 2017,"$389,804,217",James Gunn,"James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",136 min,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",tt3896198,7.6,"507,090",67
3,It,Warner Bros.,"$327,481,748",4148,"$123,403,419",37.7%,4103,Sep 8,Dec 14,False,R,Horror,English,4 wins & 30 nominations.,09 Jan 2018,"$326,898,358",Andy Muschietti,"Chase Palmer (screenplay by), Cary Joji Fukunaga (screenplay by), Gary Dauberman (screenplay by), Stephen King (based on the novel by)","Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",135 min,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",tt1396484,7.3,"404,288",69
4,Thor: Ragnarok,Walt Disney Studios Motion Pictures,"$315,058,289",4080,"$122,744,989",39%,4080,Nov 3,Mar 15,False,PG-13,"Action, Adventure, Comedy, Fantasy, Sci-Fi",English,5 wins & 30 nominations.,06 Mar 2018,"$314,971,245",Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost, Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",130 min,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",tt3501632,7.9,"516,330",74
5,Spider-Man: Homecoming,Sony Pictures Releasing,"$334,201,140",4348,"$117,027,503",35%,4348,Jul 7,Nov 30,False,PG-13,"Action, Adventure, Sci-Fi","English, Spanish",4 wins & 9 nominations.,17 Oct 2017,"$334,166,825",Jon Watts,"Jonathan Goldstein (screenplay by), John Francis Daley (screenplay by), Jon Watts (screenplay by), Christopher Ford (screenplay by), Chris McKenna (screenplay by), Erik Sommers (screenplay by), Jonathan Goldstein (screen story by), John Francis Daley (screen story by), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by)","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",133 min,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",tt2250912,7.4,"457,985",73
6,Wonder Woman,Warner Bros.,"$412,563,408",4165,"$103,251,471",25%,4165,Jun 2,Nov 9,False,PG-13,"Action, Adventure, Fantasy, Sci-Fi, War","English, German, Dutch, French, Spanish, Chinese, Greek,  Ancient (to 1453), North American Indian",17 wins & 54 nominations.,19 Sep 2017,"$412,400,625",Patty Jenkins,"Allan Heinberg (screenplay by), Zack Snyder (story by), Allan Heinberg (story by), Jason Fuchs (story by), William Moulton Marston (Wonder Woman created by)","Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",141 min,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",tt0451279,7.4,"501,523",76
7,The Fate of the Furious,Universal Pictures,"$225,764,765",4329,"$98,786,705",43.8%,4310,Apr 14,Aug 10,False,PG-13,"Action, Adventure, Thriller","English, Russian",1 win & 9 nominations.,11 Jul 2017,"$225,697,400",F. Gary Gray,"Gary Scott Thompson (based on characters created by), Chris Morgan","Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",136 min,"When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",tt4630562,6.7,"187,533",56
8,Justice League,Warner Bros.,"$229,024,295",4051,"$93,842,239",41%,4051,Nov 17,Mar 15,False,PG-13,"Action, Adventure, Fantasy, Sci-Fi","English, Irish, Russian, Icelandic",1 win & 6 nominations.,13 Mar 2018,"$227,032,490",Zack Snyder,"Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Chris Terrio (story by), Zack Snyder (story by), Chris Terrio (screenplay by), Joss Whedon (screenplay by), Gardner Fox (Justice League of America created by), Bob Kane (Batman created by), Bill Finger (Batman created by), William Moulton Marston (Wonder Woman created by), Jack Kirby (Fourth World created by)","Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",120 min,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",tt0974015,6.4,"342,681",45
9,Logan,Twentieth Century Fox,"$226,258,569",4071,"$88,411,916",39.1%,4071,Mar 3,Jul 13,False,R,"Action, Drama, Sci-Fi, Thriller","English, Spanish",Nominated for 1 Oscar. Another 13 wins & 55 nominations.,23 May 2017,"$226,276,809",James Mangold,"James Mangold (story by), Scott Frank (screenplay by), James Mangold (screenplay by), Michael Green (screenplay by)","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",137 min,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",tt3315342,8.1,"582,404",77
