,imdb_id,imdb_metascore,title
5137,tt0273048,56.0,30 YEARS TO LIFE
5867,tt0330069,70.0,Blue Collar Comedy Tour: The Movie
5868,tt0305711,28.0,Just Married
5874,tt0295289,27.0,A Guy Thing
5875,tt0257568,16.0,Kangaroo Jack
5876,tt0271668,31.0,National Security
5902,tt0282209,23.0,Darkness Falls
5919,tt0326769,36.0,Biker Boyz
5920,tt0309593,38.0,Final Destination 2
5921,tt0292506,56.0,The Recruit
6016,tt0301181,46.0,Deliver Us from Eva
6017,tt0251127,45.0,How to Lose a Guy in 10 Days
6018,tt0300471,58.0,Shanghai Knights
6019,tt0287978,42.0,Daredevil
6020,tt0283426,38.0,The Jungle Book 2
6021,tt0299458,71.0,All the Real Girls
6048,tt0279111,30.0,Gods and Generals
6049,tt0289992,31.0,The Life of David Gale
6050,tt0302886,54.0,Old School
6058,tt0306685,36.0,Cradle 2 the Grave
6074,tt0305669,39.0,Bringing Down the House
6075,tt0314353,48.0,Tears of the Sun
6081,tt0269347,40.0,The Hunted
6082,tt0310357,61.0,Willard
6112,tt0285531,35.0,Dreamcatcher
6113,tt0323642,62.0,Piglet's Big Movie
6114,tt0264150,27.0,View from the Top
6115,tt0283323,49.0,Down & Out With The Dolls
6125,tt0264395,34.0,Basic
6126,tt0298814,48.0,The Core
6127,tt0325537,44.0,Head of State
6128,tt0286788,41.0,What a Girl Wants
6140,tt0314062,67.0,Fellini: I'm a Born Liar
6141,tt0281820,68.0,The Good Thief
6142,tt0266465,36.0,A Man Apart
6146,tt0337996,51.0,DysFunktional Family
6147,tt0304328,45.0,Levity
6149,tt0305224,52.0,Anger Management
6151,tt0297144,67.0,Ghosts of the Abyss
6152,tt0251736,31.0,House of 1000 Corpses
6154,tt0329355,71.0,Marion Bridge
6156,tt0245803,40.0,Bulletproof Monk
6157,tt0323572,33.0,Chasing Papi
6158,tt0310281,81.0,A Mighty Wind
6159,tt0311289,71.0,Holes
6160,tt0328099,43.0,Malibu's Most Wanted
6184,tt0310910,59.0,Confidence
6185,tt0309698,64.0,Identity
6186,tt0311110,44.0,It Runs in the Family
6187,tt0360916,34.0,The Real Cancun
6189,tt0342275,67.0,A Decade Under the Influence
6194,tt0306841,56.0,The Lizzie McGuire Movie
6195,tt0290334,68.0,X2
6199,tt0285861,70.0,Owning Mahowny
6200,tt0317303,39.0,Daddy Day Care
6203,tt0308878,59.0,The Shape of Things
6221,tt0234215,62.0,The Matrix Reloaded
6223,tt0309530,52.0,Down with Love
6228,tt0315327,46.0,Bruce Almighty
6229,tt0314786,46.0,The In-Laws
6232,tt0266543,90.0,Finding Nemo
6233,tt0317740,68.0,The Italian Job
6234,tt0295700,32.0,Wrong Turn
6235,tt0342172,90.0,Capturing the Friedmans
6238,tt0322259,38.0,2 Fast 2 Furious
6239,tt0263671,42.0,Love the Hard Way
6240,tt0298228,80.0,Whale Rider
6333,tt0329028,19.0,Dumb and Dumberer: When Harry Met Lloyd
6334,tt0339034,14.0,From Justin to Kelly
6335,tt0329717,47.0,Hollywood Homicide
6336,tt0337711,38.0,Rugrats Go Wild
6340,tt0293452,26.0,Loco Love
6344,tt0318283,32.0,Alex & Emma
6354,tt0305357,48.0,Charlie's Angels: Full Throttle
6385,tt0286716,54.0,Hulk
6386,tt0333780,47.0,"Legally Blonde 2: Red, White & Blonde"
6387,tt0165982,48.0,Sinbad: Legend of the Seven Seas
6388,tt0181852,66.0,Terminator 3: Rise of the Machines
6389,tt0324133,70.0,Swimming Pool
6390,tt0325980,63.0,Pirates of the Caribbean: The Curse of the Black Pearl
6392,tt0311429,30.0,The League of Extraordinary Gentlemen
6396,tt0300015,63.0,I Capture the Castle
6398,tt0322659,64.0,Northfork
6399,tt0172156,38.0,Bad Boys II
6400,tt0319524,45.0,How to Deal
6401,tt0274166,51.0,Johnny English
6414,tt0319829,32.0,Masked and Anonymous
6415,tt0325703,43.0,Lara Croft Tomb Raider: The Cradle of Life
6416,tt0329575,72.0,Seabiscuit
6417,tt0338459,57.0,Spy Kids 3-D: Game Over
6419,tt0342167,55.0,Camp
6421,tt0314170,51.0,"Lucía, Lucía"
6423,tt0286947,n/a,Scorched
6437,tt0328828,43.0,American Wedding
6438,tt0299930,18.0,Gigli
6440,tt0369295,53.0,Boys Life 4: Four Play
6441,tt0325352,n/a,I'll Be There
6444,tt0322330,70.0,Freaky Friday
6446,tt0257076,45.0,S.W.A.T.
6447,tt0306734,51.0,Le Divorce
6449,tt0308508,72.0,Step Into Liquid
6466,tt0329101,37.0,Freddy vs. Jason
6467,tt0338077,30.0,Grind
6468,tt0316356,67.0,Open Range
6470,tt0263757,33.0,Uptown Girls
6471,tt0305206,90.0,American Splendor
6474,tt0285879,53.0,Passionada
6475,tt0313911,41.0,Agent Cody Banks
6536,tt0266747,20.0,Marci X
6537,tt0288045,38.0,The Medallion
6538,tt0270980,n/a,My Boss's Daughter
6540,tt0357470,33.0,The Battle of Shaker Heights
6546,tt0301470,36.0,Jeepers Creepers 2
6548,tt0326806,29.0,Civil Brand
6549,tt0317950,26.0,Nola
6552,tt0365960,69.0,Zero Day
6553,tt0325258,36.0,Dickie Roberts: Former Child Star
6554,tt0304711,21.0,The Order
6556,tt0320244,36.0,Party Monster
6558,tt0303816,56.0,Cabin Fever
6559,tt0325805,61.0,Matchstick Men
6560,tt0285823,56.0,Once Upon a Time in Mexico
6562,tt0335266,89.0,Lost in Translation
6601,tt0313792,43.0,Anything Else
6602,tt0331468,37.0,Cold Creek Manor
6603,tt0191133,53.0,The Fighting Temptations
6604,tt0327137,52.0,Secondhand Lions
6605,tt0320691,42.0,Underworld
6607,tt0303830,55.0,Casa de los Babys
6609,tt0289176,21.0,Esmeraldero
6614,tt0266489,50.0,Duplex
6615,tt0327850,59.0,The Rundown
6616,tt0328589,52.0,Under the Tuscan Sun
6618,tt0300069,n/a,Kart Racer
6619,tt0309820,47.0,Luther
6620,tt0330602,41.0,Mambo Italiano
6621,tt0314412,57.0,My Life Without Me
6622,tt0362511,n/a,National Lampoon Presents Dorm Daze
6624,tt0286244,91.0,The Triplets of Belleville
6626,tt0284262,67.0,Life and Debt
6713,tt0313443,63.0,Out of Time
6714,tt0332379,82.0,School of Rock
6716,tt0314039,42.0,The Event
6717,tt0336910,21.0,9 Dead Gay Guys
6718,tt0340377,81.0,The Station Agent
6719,tt0335563,43.0,Wonderland
6721,tt0327056,84.0,Mystic River
6722,tt0326900,49.0,Good Boy!
6723,tt0317676,15.0,House of the Dead
6724,tt0138524,71.0,Intolerable Cruelty
6725,tt0266697,69.0,Kill Bill: Vol. 1
6726,tt0342300,52.0,Dopamine
6727,tt0322289,67.0,The Flower of Evil
6728,tt0339071,52.0,Girls Will Be Girls
6730,tt0313542,61.0,Runaway Jury
6731,tt0324216,38.0,The Texas Chainsaw Massacre
6732,tt0311648,70.0,Pieces of April
6734,tt0325055,56.0,Sylvia
6735,tt0312549,55.0,Veronica Guerin
6736,tt0199626,46.0,In the Cut
6737,tt0294357,32.0,Beyond Borders
6738,tt0316465,38.0,Radio
6739,tt0306047,49.0,Scary Movie 3
6740,tt0328880,48.0,Brother Bear
6741,tt0363589,70.0,Elephant
6743,tt0314676,45.0,The Singing Detective
6746,tt0338290,n/a,Normal
6776,tt0308383,57.0,The Human Stain
6777,tt0322023,54.0,"Die, Mommie, Die!"
6779,tt0368745,69.0,Girlhood
6780,tt0339607,9.0,Mail Order Bride
6781,tt0323944,73.0,Shattered Glass
6783,tt0242653,47.0,The Matrix Revolutions
6784,tt0363510,81.0,The Revolution Will Not Be Televised
6785,tt0319343,64.0,Elf
6787,tt0379713,50.0,Billabong Odyssey
6790,tt0380473,50.0,Just an American Boy
6791,tt0314331,55.0,Love Actually
6794,tt0373175,81.0,My Architect
6795,tt0318155,64.0,Looney Tunes: Back in Action
6796,tt0311113,81.0,Master and Commander: The Far Side of the World
