,title,rotten_tomato_meter
0,Beauty and the Beast,71%
1,Guardians of the Galaxy Vol. 2,84%
2,Thor: Ragnarok,93%
3,Spider-Man: Homecoming,92%
4,Wonder Woman,93%
5,The Fate of the Furious,67%
6,Justice League,40%
7,Logan,93%
8,Despicable Me 3,58%
9,Pirates of the Caribbean: Dead Men Tell No Tales,30%
10,Kong: Skull Island,75%
11,War for the Planet of the Apes,94%
12,Cars 3,69%
13,The Lego Batman Movie,89%
14,Coco,97%
15,Dunkirk,93%
16,The Boss Baby,52%
17,Fifty Shades Darker,11%
18,Transformers: The Last Knight,15%
19,Split,77%
20,Kingsman: The Golden Circle,52%
21,Jumanji: Welcome to the Jungle,76%
22,Alien: Covenant,66%
23,Annabelle: Creation,70%
24,Get Out,98%
25,Blade Runner 2049,87%
26,The Mummy,16%
27,Girls Trip,91%
28,Daddy's Home 2,21%
29,Wonder,85%
30,All Eyez on Me,18%
31,Happy Death Day,71%
32,The Emoji Movie,7%
33,Baby Driver,93%
34,The Lego Ninjago Movie,55%
35,xXx: Return of Xander Cage,45%
36,Snatched,36%
37,The Dark Tower,16%
38,Baywatch,18%
39,The Great Wall,36%
40,A Dog's Purpose,35%
41,Valerian and the City of a Thousand Planets,47%
42,American Made,86%
43,A Bad Moms Christmas,31%
44,Jigsaw,33%
45,The Shack,21%
46,American Assassin,34%
47,Geostorm,16%
48,Underworld: Blood Wars,19%
49,Resident Evil: The Final Chapter,37%
50,The Bye Bye Man,19%
51,Ferdinand,71%
52,Smurfs: The Lost Village,40%
53,The Foreigner,65%
54,How to Be a Latin Lover,40%
55,Fist Fight,24%
56,Going in Style,48%
57,"Everything, Everything",45%
58,47 Meters Down,54%
59,Monster Trucks,32%
60,The Mountain Between Us,39%
61,Kidnap,38%
62,The Circle,15%
63,My Little Pony: The Movie,48%
64,The Greatest Showman,56%
65,Sleepless,23%
66,The Nut Job 2: Nutty by Nature,15%
67,Rough Night,44%
68,CHIPS,18%
69,Logan Lucky,92%
70,Flatliners,4%
71,Only the Brave,87%
72,All the Money in the World,79%
73,Wish Upon,20%
74,Downsizing,48%
75,Before I Fall,64%
76,The Glass Castle,52%
77,The Belko Experiment,52%
78,The Promise,51%
79,The Case for Christ,59%
80,Thank You for Your Service,77%
81,Megan Leavey,87%
82,The Space Between Us,17%
83,Rock Dog,47%
84,The Founder,81%
85,The Snowman,7%
86,The Zookeeper's Wife,63%
87,Father Figures,17%
88,Just Getting Started,5%
89,Suburbicon,28%
90,Birth of the Dragon,24%
91,Lowriders,57%
92,Friend Request,17%
93,Phoenix Forgotten,41%
94,Raees,67%
95,Tiger Zinda Hai,73%
96,Let There Be Light,100%
97,Let There Be Light,30%
98,Sleight,77%
99,Stronger,90%
100,Table 19,26%
101,All Saints,95%
102,Collide,21%
103,The Book of Henry,22%
104,The Man Who Invented Christmas,79%
105,Jab Harry Met Sejal,10%
106,The Disaster Artist,91%
107,The Resurrection of Gavin Stone,50%
108,Tulip Fever,10%
109,LBJ,57%
110,A Question of Faith,40%
111,Golmaal Again,57%
112,Free Fire,69%
113,My Cousin Rachel,76%
