,title,rotten_tomato_meter
0,Beauty and the Beast,0.71
1,Guardians of the Galaxy Vol. 2,0.84
2,Thor: Ragnarok,0.93
3,Spider-Man: Homecoming,0.92
4,Wonder Woman,0.93
5,The Fate of the Furious,0.67
6,Justice League,0.4
7,Logan,0.93
8,Despicable Me 3,0.58
9,Pirates of the Caribbean: Dead Men Tell No Tales,0.3
10,Kong: Skull Island,0.75
11,War for the Planet of the Apes,0.94
12,Cars 3,0.69
13,The Lego Batman Movie,0.89
14,Coco,0.97
15,Dunkirk,0.93
16,The Boss Baby,0.52
17,Fifty Shades Darker,0.11
18,Transformers: The Last Knight,0.15
19,Split,0.77
20,Kingsman: The Golden Circle,0.52
21,Jumanji: Welcome to the Jungle,0.76
22,Alien: Covenant,0.66
23,Annabelle: Creation,0.7
24,Get Out,0.98
25,Blade Runner 2049,0.87
26,The Mummy,0.16
27,Girls Trip,0.91
28,Daddy's Home 2,0.21
29,Wonder,0.85
30,All Eyez on Me,0.18
31,Happy Death Day,0.71
32,The Emoji Movie,0.07
33,Baby Driver,0.93
34,The Lego Ninjago Movie,0.55
35,xXx: Return of Xander Cage,0.45
36,Snatched,0.36
37,The Dark Tower,0.16
38,Baywatch,0.18
39,The Great Wall,0.36
40,A Dog's Purpose,0.35
41,Valerian and the City of a Thousand Planets,0.47
42,American Made,0.86
43,A Bad Moms Christmas,0.31
44,Jigsaw,0.33
45,The Shack,0.21
46,American Assassin,0.34
47,Geostorm,0.16
48,Underworld: Blood Wars,0.19
49,Resident Evil: The Final Chapter,0.37
50,The Bye Bye Man,0.19
51,Ferdinand,0.71
52,Smurfs: The Lost Village,0.4
53,The Foreigner,0.65
54,How to Be a Latin Lover,0.4
55,Fist Fight,0.24
56,Going in Style,0.48
57,"Everything, Everything",0.45
58,47 Meters Down,0.54
59,Monster Trucks,0.32
60,The Mountain Between Us,0.39
61,Kidnap,0.38
62,The Circle,0.15
63,My Little Pony: The Movie,0.48
64,The Greatest Showman,0.56
65,Sleepless,0.23
66,The Nut Job 2: Nutty by Nature,0.15
67,Rough Night,0.44
68,CHIPS,0.18
69,Logan Lucky,0.92
70,Flatliners,0.04
71,Only the Brave,0.87
72,All the Money in the World,0.79
73,Wish Upon,0.2
74,Downsizing,0.48
75,Before I Fall,0.64
76,The Glass Castle,0.52
77,The Belko Experiment,0.52
78,The Promise,0.51
79,The Case for Christ,0.59
80,Thank You for Your Service,0.77
81,Megan Leavey,0.87
82,The Space Between Us,0.17
83,Rock Dog,0.47
84,The Founder,0.81
85,The Snowman,0.07
86,The Zookeeper's Wife,0.63
87,Father Figures,0.17
88,Just Getting Started,0.05
89,Suburbicon,0.28
90,Birth of the Dragon,0.24
91,Lowriders,0.57
92,Friend Request,0.17
93,Phoenix Forgotten,0.41
94,Raees,0.67
95,Tiger Zinda Hai,0.73
96,Let There Be Light,1.0
97,Let There Be Light,0.3
98,Sleight,0.77
99,Stronger,0.9
100,Table 19,0.26
101,All Saints,0.95
102,Collide,0.21
