,title,rated,genre,runtime,open_date,close_date,studio,director,writer,actors,plot,language,boxoffice,opening,gross,dvd,open_theaters,max_theaters,awards,imdb_id,imdb_rating,imdb_votes,imdb_metascore,rotten_tomato_meter
0,Star Wars: Episode VIII - The Last Jedi,PG-13,"Action, Adventure, Fantasy, Sci-Fi",152.0,2017-12-15,2017-04-19,Walt Disney Studios Motion Pictures,Rian Johnson,"Rian Johnson, George Lucas (based on characters created by)","Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",English,619117636.0,220009584.0,620181382.0,2018-03-27,4232.0,4232.0,Nominated for 4 Oscars. Another 12 wins & 71 nominations.,tt2527336,7.1,481503.0,85.0,0.67
1,Beauty and the Beast,G,"Animation, Family, Fantasy, Musical, Romance",84.0,2017-03-17,2017-07-13,Walt Disney Studios Motion Pictures,"Gary Trousdale, Kirk Wise","Linda Woolverton (animation screenplay by), Brenda Chapman (story by), Chris Sanders (story by), Burny Mattinson (story by), Kevin Harkey (story by), Brian Pimental (story by), Bruce Woodside (story by), Joe Ranft (story by), Tom Ellery (story by), Kelly Asbury (story by), Robert Lence (story by)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"English, French",47611331.0,174750616.0,504014165.0,2002-10-08,4210.0,4210.0,Won 2 Oscars. Another 24 wins & 25 nominations.,tt0101414,8.0,396910.0,95.0,0.71
2,Guardians of the Galaxy Vol. 2,PG-13,"Action, Adventure, Comedy, Sci-Fi",136.0,2017-05-05,2017-09-21,Walt Disney Studios Motion Pictures,James Gunn,"James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",English,389804217.0,146510104.0,389813101.0,2017-08-22,4347.0,4347.0,Nominated for 1 Oscar. Another 12 wins & 42 nominations.,tt3896198,7.6,507090.0,67.0,0.84
3,It,R,Horror,135.0,2017-09-08,2017-12-14,Warner Bros.,Andy Muschietti,"Chase Palmer (screenplay by), Cary Joji Fukunaga (screenplay by), Gary Dauberman (screenplay by), Stephen King (based on the novel by)","Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",English,326898358.0,123403419.0,327481748.0,2018-01-09,4103.0,4148.0,4 wins & 30 nominations.,tt1396484,7.3,404288.0,69.0,0.67
4,Thor: Ragnarok,PG-13,"Action, Adventure, Comedy, Fantasy, Sci-Fi",130.0,2017-11-03,2017-03-15,Walt Disney Studios Motion Pictures,Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost, Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",English,314971245.0,122744989.0,315058289.0,2018-03-06,4080.0,4080.0,5 wins & 30 nominations.,tt3501632,7.9,516330.0,74.0,0.93
5,Spider-Man: Homecoming,PG-13,"Action, Adventure, Sci-Fi",133.0,2017-07-07,2017-11-30,Sony Pictures Releasing,Jon Watts,"Jonathan Goldstein (screenplay by), John Francis Daley (screenplay by), Jon Watts (screenplay by), Christopher Ford (screenplay by), Chris McKenna (screenplay by), Erik Sommers (screenplay by), Jonathan Goldstein (screen story by), John Francis Daley (screen story by), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by)","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","English, Spanish",334166825.0,117027503.0,334201140.0,2017-10-17,4348.0,4348.0,4 wins & 9 nominations.,tt2250912,7.4,457985.0,73.0,0.92
6,Wonder Woman,PG-13,"Action, Adventure, Fantasy, Sci-Fi, War",141.0,2017-06-02,2017-11-09,Warner Bros.,Patty Jenkins,"Allan Heinberg (screenplay by), Zack Snyder (story by), Allan Heinberg (story by), Jason Fuchs (story by), William Moulton Marston (Wonder Woman created by)","Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","English, German, Dutch, French, Spanish, Chinese, Greek,  Ancient (to 1453), North American Indian",412400625.0,103251471.0,412563408.0,2017-09-19,4165.0,4165.0,17 wins & 54 nominations.,tt0451279,7.4,501523.0,76.0,0.93
7,The Fate of the Furious,PG-13,"Action, Adventure, Thriller",136.0,2017-04-14,2017-08-10,Universal Pictures,F. Gary Gray,"Gary Scott Thompson (based on characters created by), Chris Morgan","Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez","When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","English, Russian",225697400.0,98786705.0,225764765.0,2017-07-11,4310.0,4329.0,1 win & 9 nominations.,tt4630562,6.7,187533.0,56.0,0.67
8,Justice League,PG-13,"Action, Adventure, Fantasy, Sci-Fi",120.0,2017-11-17,2017-03-15,Warner Bros.,Zack Snyder,"Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Chris Terrio (story by), Zack Snyder (story by), Chris Terrio (screenplay by), Joss Whedon (screenplay by), Gardner Fox (Justice League of America created by), Bob Kane (Batman created by), Bill Finger (Batman created by), William Moulton Marston (Wonder Woman created by), Jack Kirby (Fourth World created by)","Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","English, Irish, Russian, Icelandic",227032490.0,93842239.0,229024295.0,2018-03-13,4051.0,4051.0,1 win & 6 nominations.,tt0974015,6.4,342681.0,45.0,0.4
9,Logan,R,"Action, Drama, Sci-Fi, Thriller",137.0,2017-03-03,2017-07-13,Twentieth Century Fox,James Mangold,"James Mangold (story by), Scott Frank (screenplay by), James Mangold (screenplay by), Michael Green (screenplay by)","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","English, Spanish",226276809.0,88411916.0,226258569.0,2017-05-23,4071.0,4071.0,Nominated for 1 Oscar. Another 13 wins & 55 nominations.,tt3315342,8.1,582404.0,77.0,0.93
